STATE,EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
MICHIGAN,5607602,1997,July,F2,42.4,-83.25,42.38,-83.05,90,0,0,0,90M,
MINNESOTA,5606778,1997,July,F0,47.02,-95.07,47.02,-95.07,0,0,0,0,,
MISSOURI,5609545,1997,July,F0,36.48,-89.65,36.48,-89.65,0,0,0,0,,
SOUTH DAKOTA,5612800,1997,July,F0,44.47,-97.3,44.47,-97.3,0,0,0,0,,
SOUTH DAKOTA,5612801,1997,July,F0,44.37,-97.28,44.37,-97.28,0,0,0,0,2K,
SOUTH DAKOTA,5612802,1997,July,F0,44.43,-97.28,44.47,-97.23,0,0,0,0,,
TEXAS,5614556,1997,August,F0,31.85,-99.95,31.85,-99.95,0,0,0,0,,
WASHINGTON,5614801,1997,August,F0,46.38,-120.72,46.38,-120.72,0,0,0,0,,
MASSACHUSETTS,5605847,1997,July,F1,42.67,-73.05,42.67,-73.02,0,0,0,0,15K,
MICHIGAN,5607524,1997,July,F1,44.52,-84.5,44.5,-84.45,0,0,0,0,,
MICHIGAN,5607525,1997,July,F1,44.58,-84.32,44.58,-84.13,0,0,0,0,,
VIRGINIA,5617858,1997,July,F1,36.85,-76.27,36.85,-76.27,0,0,0,0,.4M,
KANSAS,5606007,1997,July,F1,39.8,-95.82,39.78,-95.82,0,0,0,0,20K,
MICHIGAN,5607603,1997,July,F0,42.77,-82.97,42.77,-82.97,6,0,0,0,30M,
TEXAS,5611300,1997,June,F1,35.43,-100.5,35.43,-100.42,0,0,0,0,,
NEW YORK,5605842,1997,July,F1,42.12,-73.6,42.15,-73.48,0,0,0,0,60K,
NEW YORK,5605844,1997,July,F1,42.4,-73.43,42.4,-73.42,0,0,0,0,150K,
TEXAS,5611301,1997,June,F3,35.33,-100.45,35.22,-100.38,13,0,0,0,1.7M,
TEXAS,5611307,1997,June,F1,35.08,-100.52,35.08,-100.52,0,0,0,0,,
TEXAS,5611309,1997,June,F0,34.98,-100.45,34.98,-100.45,0,0,0,0,,
SOUTH DAKOTA,5612011,1997,July,F0,45.22,-97.32,45.22,-97.32,0,0,0,0,,
TEXAS,5609597,1997,June,F0,36.32,-102.52,36.32,-102.52,0,0,0,0,,
TEXAS,5609598,1997,June,F0,36.02,-102.45,36.02,-102.45,0,0,0,0,,
TEXAS,5607464,1997,July,F0,34.12,-102.85,34.12,-102.85,0,0,0,0,0,0
INDIANA,5616428,1997,August,F0,41.52,-86.28,41.52,-86.28,0,0,0,0,,
NEBRASKA,5614940,1997,August,F0,40.83,-97.18,40.83,-97.18,0,0,0,0,,
FLORIDA,5613891,1997,August,F0,26.6,-81.97,26.6,-81.97,0,0,0,0,0,0
