STATE,EVENT_ID,YEAR,MONTH_NAME,FLOOD_CAUSE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_CROPS
MISSISSIPPI,5588894,1997,February,,,,,,0,0,0,0,,
INDIANA,5617624,1997,June,,,,,,0,0,0,0,,
INDIANA,5617625,1997,June,,,,,,0,0,0,0,,
INDIANA,5617626,1997,June,,,,,,0,0,0,0,,
INDIANA,5617627,1997,June,,,,,,0,0,0,0,,
INDIANA,5617628,1997,June,,,,,,0,0,0,0,,
INDIANA,5617629,1997,June,,,,,,0,0,0,0,,
MINNESOTA,5606500,1997,July,,,,,,0,0,0,0,,
MISSISSIPPI,5611733,1997,July,,,,,,0,0,0,0,,
NEBRASKA,5612742,1997,June,,,,,,0,0,0,0,,
IOWA,5585532,1997,February,,,,,,0,0,0,0,,
NEW JERSEY,5614596,1997,July,,,,,,0,0,0,0,,
NEW HAMPSHIRE,5614027,1997,July,,,,,,0,0,0,0,2K,
WISCONSIN,5590918,1997,February,,,,,,0,0,0,0,10K,10K
LOUISIANA,5607757,1997,June,,,,,,0,0,0,0,15K,
LOUISIANA,5607760,1997,June,,,,,,0,0,0,0,5K,
INDIANA,5607761,1997,June,,,,,,0,0,0,0,,
INDIANA,5607762,1997,June,,,,,,0,0,0,0,,
INDIANA,5607763,1997,June,,,,,,0,0,0,0,,
OHIO,5612244,1997,August,,,,,,0,0,0,0,50K,
ARIZONA,5613866,1997,August,,,,,,0,0,0,0,10K,
TENNESSEE,5602193,1997,July,,,,,,0,0,0,0,,
TEXAS,5602112,1997,June,,,,,,0,0,0,0,30K,10K
ALASKA,5611238,1997,August,,,,,,0,0,0,0,,
OHIO,5605944,1997,June,,,,,,0,0,0,0,,
HAWAII,5626209,1997,August,,,,,,0,0,0,0,,
IOWA,5585540,1997,February,,,,,,0,0,0,0,,
INDIANA,5585935,1997,February,,,,,,0,0,0,0,,
OREGON,5612196,1997,August,,,,,,0,0,0,0,,
WISCONSIN,5590917,1997,February,,,,,,0,0,0,0,5K,10K
MAINE,5624859,1997,May,,,,,,0,0,0,0,,
MAINE,5624860,1997,May,,,,,,0,0,0,0,,
