EVENT_ID,YEAR,MONTH_NAME,TOR_F_SCALE,STATE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,INJURIES_DIRECT,INJURIES_INDIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
5256721,2001,July,,MINNESOTA,,,,,0,0,0,0,
5256722,2001,July,,MINNESOTA,,,,,0,0,0,0,
5256723,2001,July,,MINNESOTA,,,,,0,0,0,0,
5256724,2001,July,,MINNESOTA,,,,,0,0,0,0,
5256725,2001,July,,IOWA,,,,,0,0,0,0,
5256726,2001,July,,IOWA,,,,,0,0,0,0,
5257599,2001,July,,MISSOURI,,,,,0,0,0,0,
5257600,2001,July,,MISSOURI,,,,,0,0,0,0,
5254489,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254490,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254491,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254492,2001,June,,VIRGINIA,,,,,0,0,0,0,
5258913,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258914,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258915,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258916,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258917,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258918,2001,July,,ILLINOIS,,,,,0,0,0,0,
5256705,2001,July,,WISCONSIN,,,,,0,0,0,0,
5257597,2001,July,,MISSOURI,,,,,0,0,0,0,
5257598,2001,July,,MISSOURI,,,,,0,0,0,0,
5257601,2001,July,,MISSOURI,,,,,0,0,0,0,
5257602,2001,July,,MISSOURI,,,,,0,0,0,0,
5254769,2001,June,,MARYLAND,,,,,0,0,0,0,
5254770,2001,June,,MARYLAND,,,,,0,0,0,0,
5254771,2001,June,,MARYLAND,,,,,0,0,0,0,
5254493,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254496,2001,June,,VIRGINIA,,,,,0,0,0,0,
5258796,2001,July,,MISSOURI,,,,,0,0,0,0,
5258797,2001,July,,MISSOURI,,,,,0,0,0,0,
5258798,2001,July,,MISSOURI,,,,,0,0,0,0,
5258799,2001,July,,MISSOURI,,,,,0,0,0,0,
5254497,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254498,2001,June,,VIRGINIA,,,,,0,0,0,0,
5258655,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258656,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258657,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258658,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258659,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258660,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258661,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258946,2001,July,,NEBRASKA,,,,,0,0,0,0,
5258947,2001,July,,IOWA,,,,,0,0,0,0,
5258948,2001,July,,IOWA,,,,,0,0,0,0,
5258949,2001,July,,IOWA,,,,,0,0,0,0,
5258831,2001,July,,NEBRASKA,,,,,0,0,0,0,
5256706,2001,July,,WISCONSIN,,,,,0,0,0,0,
5253384,2001,July,,CALIFORNIA,,,,,0,0,0,0,
5253957,2001,June,,MARYLAND,,,,,0,0,0,0,
5256717,2001,July,,WISCONSIN,,,,,0,0,0,0,
5254150,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254151,2001,June,,VIRGINIA,,,,,0,0,0,0,
5254154,2001,June,,VIRGINIA,,,,,0,0,0,0,
5258500,2001,July,,MISSOURI,,,,,0,0,0,0,
5258921,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258922,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258923,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258924,2001,July,,ILLINOIS,,,,,0,0,0,0,
5258794,2001,July,,MISSOURI,,,,,0,0,0,0,
5258795,2001,July,,MISSOURI,,,,,0,0,0,0,
5254742,2001,June,,MARYLAND,,,,,0,0,0,0,
5254743,2001,June,,MARYLAND,,,,,0,0,0,0,
5254744,2001,June,,MARYLAND,,,,,0,0,0,0,
5256707,2001,July,,WISCONSIN,,,,,0,0,0,0,
5256708,2001,July,,WISCONSIN,,,,,0,0,0,0,
5256709,2001,July,,WISCONSIN,,,,,0,0,0,0,
5256710,2001,July,,WISCONSIN,,,,,0,0,0,0,
5253940,2001,June,,NEW JERSEY,,,,,0,0,0,0,
5256718,2001,July,,MINNESOTA,,,,,0,0,0,0,
5256719,2001,July,,MINNESOTA,,,,,0,0,0,0,
5256720,2001,July,,MINNESOTA,,,,,0,0,0,0,
5254495,2001,June,,VIRGINIA,,,,,0,0,0,0,
5258791,2001,July,,MISSOURI,,,,,0,0,0,0,
